stimulus,component,event_name,onset_s,baseline_mean,response_mean,diff,p_exact,p_fdr,significant
storycorps_q&a,1,__aggregate__,,,,-0.014686391855118703,0.6794258373205742,,False
storycorps_q&a,1,diagnosis_text,16.0,0.05099444240866915,0.09363480240836776,0.04264035999969861,0.22009569377990432,0.9244019138755981,False
storycorps_q&a,1,cocroaches_snakes,48.0,0.23584537031725042,0.1591582066774251,-0.0766871636398253,0.8899521531100478,0.9394736842105263,False
storycorps_q&a,1,life_hopeless,61.0,0.04482159709477573,0.015716370395446648,-0.02910522669932908,0.7129186602870813,0.9394736842105263,False
storycorps_q&a,1,baby,104.0,0.14676497402304955,0.08868875846886097,-0.058076215554188584,0.8421052631578947,0.9394736842105263,False
storycorps_q&a,1,son_you_wanted,164.0,0.0523928525511915,0.033417963258865244,-0.018974889292326255,0.6507177033492823,0.9394736842105263,False
storycorps_q&a,1,made_you_parent,183.0,0.08623999604935972,0.07544212490135727,-0.010797871148002458,0.5789473684210527,0.9394736842105263,False
storycorps_q&a,1,lucky_to_have_you,209.0,0.01628101237523557,0.0644772757233777,0.048196263348142136,0.15789473684210525,0.8791866028708135,False
storycorps_q&a,2,__aggregate__,,,,0.0028393128383549884,0.3492822966507177,,False
storycorps_q&a,2,diagnosis_text,16.0,0.023932761852081586,0.008758659371721688,-0.015174102480359898,0.7320574162679426,0.9394736842105263,False
storycorps_q&a,2,cocroaches_snakes,48.0,0.010009980154132953,0.017483661459235307,0.007473681305102354,0.41148325358851673,0.9394736842105263,False
storycorps_q&a,2,life_hopeless,61.0,0.0004994876917618545,0.003577486483205489,0.0030779987914436348,0.5023923444976076,0.9394736842105263,False
storycorps_q&a,2,baby,104.0,0.012278060508271946,0.05088498285155441,0.03860692234328247,0.0430622009569378,0.8791866028708135,False
storycorps_q&a,2,son_you_wanted,164.0,-0.006453796864419593,0.017011197833420873,0.023464994697840465,0.15311004784688995,0.8791866028708135,False
storycorps_q&a,2,made_you_parent,183.0,0.026425826583325887,-0.0012525760846942833,-0.02767840266802017,0.8899521531100478,0.9394736842105263,False
storycorps_q&a,2,lucky_to_have_you,209.0,-0.001157790807761394,-0.011053692928565334,-0.009895902120803941,0.6842105263157895,0.9394736842105263,False
storycorps_q&a,3,__aggregate__,,,,-0.011875519667982228,0.9521531100478469,,False
storycorps_q&a,3,diagnosis_text,16.0,0.022539992127808814,-0.00017257039473372627,-0.02271256252254254,0.8708133971291866,0.9394736842105263,False
storycorps_q&a,3,cocroaches_snakes,48.0,0.005669286668177196,0.02707468355110337,0.021405396882926173,0.1674641148325359,0.8791866028708135,False
storycorps_q&a,3,life_hopeless,61.0,0.023450878329807145,-0.0009072705624187527,-0.024358148892225897,0.8947368421052632,0.9394736842105263,False
storycorps_q&a,3,baby,104.0,0.018162987042767965,0.015115487471429283,-0.0030474995713386816,0.5358851674641149,0.9394736842105263,False
storycorps_q&a,3,son_you_wanted,164.0,0.035495606780813684,-0.002365521580154564,-0.03786112836096825,0.9617224880382775,0.9617224880382776,False
storycorps_q&a,3,made_you_parent,183.0,0.03263637281576694,0.028423098183111,-0.0042132746326559375,0.5598086124401914,0.9394736842105263,False
storycorps_q&a,3,lucky_to_have_you,209.0,0.013927633743800613,0.0015862131647301472,-0.012341420579070466,0.7464114832535885,0.9394736842105263,False
