timestamp,min_lum,mean_lum,max_lum,diff_lum,amp_rms,amp_peak,ebu_r128_M
0.0,15,34.6115,43,0.0,-inf,-inf,-120.691
0.033367,15,34.6138,43,0.355324,-inf,-inf,-120.691
0.066733,15,34.6215,43,0.350896,-64.64443706159472,-75.74286103093799,-120.691
0.1001,15,34.5703,43,0.367678,-59.88680416190119,-70.44110388858161,-120.691
0.133467,15,34.5757,43,0.418704,-57.09179349060141,-67.97969098926546,-120.691
0.166833,15,34.6001,44,0.418128,-47.6605978705353,-59.18559704302991,-120.691
0.2002,15,34.5881,43,0.41823,-44.80632826592603,-54.819923754886794,-120.57373000000001
0.233567,15,34.576,43,0.393964,-51.88921130242805,-60.535610818224434,-101.00898955000001
0.266933,15,34.5871,43,0.384725,-56.001336555149294,-64.5114467397928,-81.44483545000001
0.3003,15,34.5989,43,0.31347,-53.782668287113864,-62.11816091337365,-62.04391
0.333667,15,34.5894,43,0.307201,-55.4757296835888,-62.74155103501617,-60.6992199
0.367033,15,34.6115,43,0.30078,-49.44861425256645,-60.857458552289884,-59.354570100000004
0.4004,15,34.5867,43,0.259048,-43.49561483152862,-54.106407525805096,-58.02226400000001
0.433767,15,34.5959,43,0.278794,-43.873128948436694,-54.393230428725445,-57.71061622
0.467133,14,34.5626,44,0.293561,-48.19445027581681,-56.30917982946608,-57.39897778
0.5005,11,123.955,195,89.4005,-48.3328422001125,-55.694761374677725,-57.063215
0.533867,11,123.955,195,0.000112847,-47.119916984812974,-55.7428507856942,-55.14227681
0.567233,11,124.101,195,0.163701,-47.519637171283925,-54.92456333403647,-53.22139619
0.6006,10,126.557,210,2.69141,-46.93977811460578,-55.55541188173806,-51.32393
0.633967,9,129.324,214,3.41266,-35.67959761032204,-46.459895020953454,-50.70830885
0.667333,9,130.577,227,1.65544,-35.907857323146146,-46.34739717615074,-50.092706150000005
0.7007,9,130.615,227,0.299009,-39.05546592251441,-47.09509362790044,-49.470204
0.734067,10,130.662,255,0.551679,-41.25626732708353,-47.83813517680697,-48.52658524
0.767433,10,130.743,255,0.402456,-41.447506334692726,-46.98984602601603,-47.58299476
0.8008,10,130.768,255,0.943834,-39.507042023624265,-46.02999498392238,-46.6492
0.834167,10,130.803,255,0.828081,-35.1703408356068,-45.15863996456194,-46.115328
0.867533,10,130.843,255,0.178605,-32.76949857129464,-42.89396298509421,-45.581472
0.9009,10,130.837,255,0.691732,-33.87385051216426,-43.435214939202176,-45.012518
0.934267,9,130.616,255,1.31476,-35.3866508832849,-43.76476836814475,-43.178000340000004
0.967633,8,130.791,255,1.86839,-34.751285307082924,-42.92978157361834,-41.34353766
1.001,8,130.764,255,0.607656,-32.755159419986875,-42.196302675119526,-39.50940000000001
1.034367,8,130.765,255,0.0573958,-35.30678873669901,-43.02415604406319,-37.6875618
1.067733,8,130.61,255,0.539232,-22.372480617915905,-33.57573115295551,-35.8657782
1.1011,8,130.542,255,0.654765,-18.12202079866873,-26.128579927576993,-34.096267
1.134467,8,130.47,255,0.770775,-19.057157231800467,-26.344451441428742,-33.86169699
1.167833,8,130.466,255,0.605824,-19.88584033291146,-28.243383607321995,-33.627134010000006
1.2012,8,130.467,255,0.139571,-25.590788610837677,-31.926460735245865,-33.395084000000004
1.234567,8,130.481,255,0.534757,-23.681905576571516,-31.966273087470118,-33.23058469
1.267933,8,130.484,255,0.442207,-25.215989942530353,-32.3446735794778,-33.06609031
1.3013,8,130.491,255,0.485527,-26.023961549992958,-32.92712673027703,-32.907974
1.334667,8,130.596,255,0.90873,-24.080026783996622,-32.05890755702433,-32.90730666
1.368033,8,130.592,255,0.0370345,-27.27801939692507,-35.288876892472096,-32.90663934
1.4014,8,130.605,255,0.6151,-26.002312020390942,-33.1836195599775,-32.925754
1.434767,8,130.631,255,0.749686,-24.559367691665884,-31.980192537733192,-33.39656237
1.468133,8,130.663,255,0.7833,-23.198328188299822,-33.07622832344255,-33.867356629999996
1.5015,8,130.672,255,0.618913,-24.772801742429916,-33.149624335380146,-34.30965
1.534867,8,130.668,255,0.162615,-22.922777616697132,-34.182085731167675,-34.1461517
1.568233,8,130.669,255,0.160316,-22.18943178522547,-30.619082478953793,-33.9826583
1.6016,8,130.672,255,0.338282,-21.638403352364858,-30.6989757061829,-33.82628
1.634967,8,130.666,255,0.144415,-23.809767228930344,-32.3069009567826,-33.81126485
1.668333,8,130.66,255,0.0802116,-25.596601821309708,-33.95376582684105,-33.79625015
1.7017,8,130.672,255,0.204567,-24.979021439954998,-33.53796347679759,-33.792693
1.735067,8,130.674,255,0.0535601,-24.284183451788298,-34.39461904579758,-34.002571429999996
1.768433,8,130.664,255,0.210039,-28.913293104246733,-38.28492748364113,-34.21244357
1.8018,9,129.714,255,1.32655,-30.603155948249192,-38.18925617709652,-34.433914
1.835167,9,129.574,255,1.03539,-29.249171119064357,-38.30926783377865,-34.85867591
1.868533,9,129.573,255,0.0165343,-31.3780559889842,-39.33539829667651,-35.28342509
1.9019,9,129.283,255,1.64775,-31.60393627009798,-39.72568500834388,-35.704843
1.935267,2,129.096,255,2.61109,-31.258955300520324,-39.269139304176626,-36.07087899
1.968633,8,129.151,255,1.00018,-25.414276507289163,-35.97834470960481,-36.43690401
2.002,8,129.185,255,0.822664,-22.27943499029673,-31.800792438756858,-36.7864
2.035367,8,129.184,255,0.0797569,-25.357289581634102,-35.079528250878916,-36.8764909
2.068733,8,129.184,255,0.0431814,-29.00882718183098,-35.832520580368445,-36.966579100000004
2.1021,8,129.184,255,0.00843424,-27.735194028266072,-34.04823728716074,-37.033171
2.135467,8,129.183,255,0.13813,-27.75693007574763,-35.206883652385855,-36.749885170000006
2.168833,8,129.176,255,0.180734,-29.413300589509188,-37.0892957482773,-36.46660783
2.2022,8,129.177,255,0.00675673,-28.825169077060096,-36.271819362098064,-36.201626
2.235567,8,129.174,255,0.0772114,-26.312404394271788,-33.9735914765387,-36.19595361
2.268933,8,129.172,255,0.0185395,-27.097411236430116,-34.144161751945255,-36.19028139
2.3023,8,129.172,255,0.0140603,-28.36764709023578,-34.41359892509258,-36.180653
2.335667,8,129.17,255,0.0113715,-30.51943102718665,-36.5712100906534,-36.117589370000005
2.369033,8,129.18,255,0.193951,-30.054432106595417,-36.87812642638166,-36.05452763
2.4024,9,129.17,255,0.197262,-27.0097523586763,-36.76157685253586,-36.00968
2.435767,9,129.168,255,0.09227,-22.71889095092109,-33.62719303201611,-36.1998719
2.469133,10,129.154,255,0.297601,-26.23037516883843,-36.033749573450805,-36.390058100000005
2.5025,10,129.145,255,0.115168,-29.478957691042048,-37.66973026873857,-36.578525
2.535867,10,129.147,255,0.0127582,-31.880099401143735,-39.27936955095156,-36.74569367
2.569233,10,129.147,255,0.0271669,-33.03016182407538,-38.99517789265457,-36.91285733
2.6026,10,129.138,255,0.233648,-31.22392971847755,-37.39307171674323,-37.075684
2.635967,10,129.139,255,0.00976671,-28.061031195753067,-36.930026311207996,-37.18712978
2.669333,10,129.137,255,0.0665831,-27.66096018112783,-35.41695996029625,-37.298572220000004
2.7027,10,129.138,255,0.0315451,-28.307445448319505,-36.29475960877513,-37.350537
2.736067,9,129.145,255,0.177538,-29.34712615047109,-37.399784370974544,-36.726907770000004
2.769433,9,129.143,255,0.0284191,-31.029382080438754,-39.318955458866526,-36.10329723
2.8028,9,129.145,255,0.0510634,-31.653506685276334,-40.06727279299677,-35.37004799999999
2.836167,9,129.134,255,0.218043,-32.81959815370553,-40.04320718506539,-33.44010071999998
2.869533,9,129.137,255,0.0299935,-19.15819404654755,-29.121364794965483,-31.510211279999986
2.9029,10,129.105,255,1.25805,-14.651243309177833,-22.48359512027748,-29.729498000000003
2.936267,10,129.12,255,0.207604,-15.114968804012562,-22.917207135236488,-29.51661654
2.969633,10,129.124,255,0.040523,-15.230712943001738,-23.326703606637242,-29.30374146
3.003,10,129.132,255,0.0940278,-19.448656878310604,-27.178230316083066,-29.09245
3.036367,10,129.132,255,0.00738932,-20.58229893887691,-28.423563719415018,-28.89725305
3.069733,10,129.133,255,0.0243338,-23.438054395959288,-30.89167365972905,-28.70206195
3.1031,10,129.128,255,0.12383,-21.263396860926207,-30.05377288872222,-28.524845
3.136467,10,129.129,255,0.0134451,-20.75929944011625,-28.80939353747715,-28.52317665
3.169833,10,129.128,255,0.0286003,-21.215595919190044,-28.60173155854504,-28.521508349999998
3.2032,10,129.128,255,0.0146148,-20.636825485210665,-28.279025203862542,-28.61846399999999
3.236567,10,129.127,255,0.010867,-22.287039455235774,-29.688570705165464,-29.64516659
3.269933,10,129.125,255,0.0128255,-24.86306114433039,-32.36439610003282,-30.671838410000003
3.3033,10,129.127,255,0.0135135,-26.840014676760106,-34.8903415265773,-31.629901000000004
3.336667,10,129.127,255,0.0127257,-23.511239685135696,-33.320620176346495,-31.962569990000002
3.370033,10,129.125,255,0.312015,-26.218735737789423,-34.45673192106497,-32.29522901
3.4034,10,129.127,255,0.0169835,-25.10351040219378,-34.348796974546474,-32.634664
3.436767,10,129.123,255,0.0805143,-26.465827208972016,-34.551713220503444,-33.03373332
3.470133,10,129.121,255,0.0404091,-27.43288464590072,-34.18022060680636,-33.432790680000004
3.5035,8,129.128,255,0.266443,-27.881666447897576,-34.58127197004637,-33.810404999999996
3.536867,8,129.125,255,0.0393598,-28.41956264894763,-36.020590701917214,-34.00493461
3.570233,8,129.13,255,0.0599978,-25.09561542961607,-33.60499224314441,-34.19945839
3.6036,8,129.129,255,0.020281,-23.185782235128684,-31.6215172076595,-34.363423999999995
3.636967,8,129.122,255,0.214883,-24.19741380916889,-32.210238297614026,-34.27466778
3.670333,8,129.125,255,0.0276172,-25.32230613490204,-32.60528143470516,-34.18591422
3.7037,8,129.121,255,0.117119,-25.039495231144233,-33.64172026400412,-34.098379
3.737067,8,129.123,255,0.0196723,-26.02055929005344,-33.48733250595295,-34.02063389
3.770433,8,129.121,255,0.0570964,-22.65406823592548,-32.57749723503488,-33.94289111
3.8038,8,129.123,255,0.0152702,-20.30145360734036,-29.674453114512,-33.897446
3.837167,8,129.124,255,0.154677,-25.822022388271712,-34.873370744761644,-34.10332039
3.870533,9,129.152,255,1.17832,-30.26190793381454,-37.75842357391954,-34.30918861
3.9039,9,129.164,255,0.0992122,-31.690892232456743,-38.457461456804,-34.531443
3.937267,9,129.163,255,0.00995443,-30.26806301574954,-38.86926978597545,-34.87745879
3.970633,9,129.164,255,0.0261719,-31.783321264051025,-39.526828927061366,-35.223464209999996
4.004,9,129.165,255,0.0203581,-27.094615677931937,-37.03816314919848,-35.60391999999999
4.037367,9,129.161,255,0.101099,-26.40462759414987,-36.52074546491348,-36.23722566
4.070733,9,129.161,255,0.00185438,-32.345875415580714,-38.851055655292015,-36.87051234
4.1041,9,129.164,255,0.108826,-32.96205638391224,-39.777551167908875,-37.351175
4.137467,9,129.161,255,0.112094,-34.426671557513835,-40.892085920877484,-36.74222725
4.170833,9,129.161,255,0.0130469,-32.75585017409647,-41.67599599957811,-36.13329775
4.2042,9,129.156,255,0.0945768,-34.015743121220545,-42.491560533961405,-35.564796
4.237567,9,129.154,255,0.0203364,-21.96626711175166,-31.356314368818087,-35.277172459999996
4.270933,9,129.153,255,0.0101465,-21.260729832231792,-28.65170835719313,-34.98955753999999
4.3043,9,129.153,255,0.00703016,-25.404877149017935,-32.46747470243284,-34.732679
4.337667,9,129.152,255,0.00686632,-26.796163932170785,-33.46985393868651,-34.683629509999996
4.371033,9,129.151,255,0.00820638,-27.69072400890639,-35.444004726480095,-34.63458149
4.4044,9,129.134,255,0.305166,-28.7132154742887,-37.15178098420287,-34.582056
4.437767,9,129.135,255,0.0110883,-27.163650145307965,-37.698456447173506,-34.50664658
4.471133,9,129.133,255,0.0689421,-26.112159819528465,-35.390578139970955,-34.43123942
4.5045,9,129.129,255,0.107772,-28.91059838117557,-37.03741378067875,-34.436515
4.537867,9,129.129,255,0.0313314,-29.837730230113042,-38.29917980115315,-34.959375890000004
4.571233,9,129.132,255,0.1611,-30.81711667713512,-38.397321716415114,-35.48222111000001
4.6046,9,129.133,255,0.0403168,-31.68347462649417,-37.904125612572074,-35.677516000000004
4.637967,9,129.12,255,0.201543,-32.30932632455234,-39.61080364957343,-33.82431282000001
4.671333,9,129.123,255,0.0229666,-21.317475951999246,-33.65208905189143,-31.971165180000018
4.7047,9,129.125,255,0.0139844,-15.424555037498818,-23.392263256632617,-30.351834000000004
4.738067,9,129.126,255,0.00988932,-15.154758325411333,-22.918502601462524,-30.15897274
4.771433,9,129.12,255,0.115137,-16.225192523108632,-23.934921583294255,-29.966117259999997
4.8048,9,129.123,255,0.191576,-18.835103253832095,-27.54752824441008,-29.759431999999997
4.838167,8,129.093,255,1.28541,-21.181791483641213,-29.50585280341244,-29.470473779999995
4.871533,8,129.1,255,0.0884223,-22.243567022781626,-30.01816338447477,-29.181524219999996
4.9049,8,129.101,255,0.00503147,-20.130596564779243,-27.996072666026077,-28.933334
4.938267,8,129.102,255,0.0129883,-19.205536679557465,-27.196036480007486,-28.92198922
4.971633,8,129.112,255,0.0831597,-21.864920013218956,-30.373520951202362,-28.91064478
5.005,8,129.12,255,0.0450326,-23.896458263254118,-31.15194172394879,-29.050699999999996
5.038367,8,129.12,255,0.0124718,-26.27337618229972,-32.493000687854504,-30.049707980000004
5.071733,8,129.117,255,0.135841,-25.966223507148552,-33.84744853466459,-31.04868602000001
5.1051,8,129.118,255,0.00979167,-24.849196480476216,-33.8631473094267,-31.950845000000005
5.138467,8,129.118,255,0.0228396,-22.577046028594197,-32.381004155486806,-32.31621365000001
5.171833,8,129.118,255,0.00676975,-25.53627320972204,-33.81090449257021,-32.681571350000006
5.2052,8,129.118,255,0.00265842,-27.71139053897711,-36.51051180963756,-33.117243999999985
5.238567,8,129.118,255,0.00166884,-29.466922193174852,-36.93919706520414,-33.93373448999999
5.271933,8,129.118,255,0.00106662,-28.866067486828545,-37.293081025499205,-34.75020050999999
5.3053,8,129.121,255,0.21897,-31.102395331505154,-38.56843230567662,-35.456133
5.338667,14,108.06,255,32.2435,-27.969887574763277,-36.52677312852723,-35.57658787
5.372033,14,108.06,255,0.0670117,-26.12828188693575,-35.41577684366944,-35.69703913
5.4054,14,108.061,255,0.0559538,-27.23410919452517,-35.647207014671416,-35.814416
5.438767,14,108.097,255,0.047423,-27.45470047925749,-35.10821416608072,-35.91585168
5.472133,14,108.173,255,0.127139,-27.145442424111703,-35.1691823131152,-36.01728432
5.5055,14,108.269,255,0.191175,-24.451685087329494,-34.58541572788638,-36.081759999999996
5.538867,14,108.328,255,0.0936773,-26.934613209149713,-35.70388396071998,-35.95896944
5.572233,14,108.397,255,0.165186,-23.41992106946982,-34.68192853775838,-35.83618256
5.6056,14,108.455,255,0.20147,-21.751518098200037,-31.185962084512976,-35.763736
5.638967,14,108.491,255,0.0817871,-26.9655293865842,-35.56913111301743,-35.94091477
5.672333,14,108.518,255,0.156299,-30.70091839767505,-38.333710907096645,-36.11808823
5.7057,14,108.522,255,0.0389106,-32.295918439694404,-39.834754683354454,-36.281131
5.739067,14,108.529,255,0.150125,-33.83294243580369,-40.43147306089158,-36.37555961
5.772433,13,108.541,255,0.211452,-35.020517314301784,-41.26613436816202,-36.469985390000005
5.8058,12,108.624,255,0.865382,-27.546098108470446,-38.29948024253504,-36.649268
5.839167,12,108.622,255,0.0375033,-26.86619203768807,-36.16358359419678,-37.23185581999999
5.872533,12,108.623,255,0.00756293,-29.52469747147612,-37.88183080359068,-37.81442617999999
5.9059,12,108.623,255,0.00642904,-32.90199705615709,-39.87409849205454,-38.272110999999995
5.939267,12,108.624,255,0.00572917,-34.06452587629494,-42.869457783106014,-38.14831943
5.972633,12,108.624,255,0.00673937,-37.211388041391245,-45.60159914498663,-38.02453157
6.006,12,108.628,255,0.0483681,-31.147850250363113,-42.23648674818348,-37.88178
6.039367,12,108.628,255,0.0125998,-23.139220266241686,-34.00220203178026,-37.65254871
