x_svgunits,dmochowski_timeseries,poulsen_timeseries,lab_results
35362.0773,0.021368,0.043653,0.087730
35596.8157,0.014530,0.013477,0.085247
35831.5540,0.010014,0.017370,0.048294
36066.2924,0.013440,0.006594,0.061999
36301.0308,0.038929,0.028918,0.061500
36535.7691,0.059082,0.041758,0.033371
36770.5075,0.055732,0.038662,0.015500
37005.2459,0.050492,0.039006,0.010283
37239.9842,0.027202,0.038045,-0.006166
37474.7226,0.000506,0.026599,-0.002713
37709.4609,0.014959,0.039105,-0.008524
37944.1993,0.033872,0.053796,-0.005456
38178.9377,0.038396,0.037900,-0.002673
38413.6760,0.046634,0.022479,0.002966
38648.4144,0.036754,0.025739,0.002458
38883.1527,0.011018,0.013688,0.002650
39117.8911,-0.001179,0.012256,0.023275
39352.6295,0.019544,0.030382,0.095321
39587.3678,0.032523,0.035215,0.092635
39822.1062,0.043757,0.016213,0.091487
40056.8446,0.057051,0.017113,0.096447
40291.5829,0.049734,0.023764,0.091255
40526.3213,0.019607,0.025607,0.010004
40761.0596,0.028250,0.058732,0.066445
40995.7980,0.025131,0.081650,0.086078
41230.5364,0.037795,0.070015,0.085278
41465.2747,0.047906,0.061648,0.089569
41700.0131,0.067737,0.075044,0.101245
41934.7515,0.059878,0.038412,0.053460
42169.4898,0.054902,0.026017,0.035200
42404.2282,0.059405,0.037864,0.062938
42638.9665,0.057221,0.021857,0.042468
42873.7049,0.048272,0.020650,0.030776
43108.4433,0.032791,0.021980,0.025693
43343.1816,0.044751,0.022382,0.029453
43577.9200,0.029216,0.016317,0.021509
43812.6584,0.030049,0.027616,0.020488
44047.3967,0.039400,0.012003,0.021906
44282.1351,0.055613,0.024780,0.025728
44516.8734,0.044622,0.026581,0.029802
44751.6118,0.041505,0.019876,0.024468
44986.3502,0.033540,0.017015,0.028194
45221.0885,0.009145,0.029095,0.024549
45455.8269,0.001469,0.052156,0.062923
45690.5653,0.006180,0.064799,0.101211
45925.3036,0.014640,0.060090,0.103338
46160.0420,0.032137,0.049309,0.107746
46394.7803,0.042776,0.031012,0.108728
46629.5187,0.044369,-0.000865,0.079278
46864.2571,0.051775,0.003425,0.024457
47098.9954,0.047008,0.020851,0.045855
47333.7338,0.038484,0.035417,0.065698
47568.4721,0.062469,0.044212,0.075876
47803.2105,0.082669,0.037750,0.075023
48037.9489,0.078053,0.021768,0.064161
48272.6872,0.072343,0.008660,0.034783
48507.4256,0.060136,-0.007030,0.005441
48742.1640,0.038346,-0.012352,-0.006006
48976.9023,0.016484,-0.012295,-0.000898
49211.6407,0.024033,-0.012500,-0.010515
49446.3790,0.052420,-0.003480,-0.003016
49681.1174,0.071791,0.009194,-0.000353
49915.8558,0.068760,0.043234,-0.005072
50150.5941,0.078376,0.065214,0.000689
50385.3325,0.065063,0.073367,-0.000586
50620.0709,0.038581,0.076775,0.001195
50854.8092,0.034686,0.077036,0.022271
51089.5476,0.041436,0.039373,0.032973
51324.2859,0.023589,0.038050,0.043552
51559.0243,0.005509,0.045471,0.051992
51793.7627,0.008137,0.051431,0.051667
52028.5010,0.010212,0.043025,0.058814
52263.2394,0.015980,0.038446,0.070117
52497.9778,0.021985,0.027637,0.047560
52732.7161,0.038844,0.031999,0.037496
52967.4545,0.056871,0.021974,0.046449
53202.1928,0.060485,0.031804,0.035403
53436.9312,0.050797,0.034180,0.029569
53671.6696,0.039299,0.028611,0.031919
53906.4079,0.022965,0.007713,0.030697
54141.1463,0.000476,-0.006739,0.008944
54375.8846,-0.006731,-0.009593,0.009717
54610.6230,0.008450,-0.009832,-0.011400
54845.3614,0.014287,-0.004292,-0.020198
55080.0997,0.016789,0.017567,-0.027228
55314.8381,0.029752,0.030656,-0.020590
55549.5765,0.022074,0.054409,-0.013646
55784.3148,0.003156,0.058032,-0.011370
56019.0532,-0.002145,0.069655,-0.009230
56253.7915,-0.011469,0.058164,-0.004824
56488.5299,-0.022527,0.038343,0.012238
56723.2683,-0.018548,0.017880,0.011581
56958.0066,-0.010131,0.030406,0.014298
57192.7450,0.010576,0.058258,0.013633
57427.4834,0.025051,0.077158,0.035764
57662.2217,0.025901,0.097632,0.029487
57896.9601,0.024175,0.099514,0.014310
58131.6984,0.017376,0.080234,0.012792
58366.4368,0.010822,0.043441,0.026459
58601.1752,0.016546,0.022166,0.009179
58835.9135,0.025998,0.008851,0.008190
59070.6519,0.038357,0.018687,0.028344
59305.3903,0.043066,0.037329,0.045808
