stimulus,component,event_name,onset_s,baseline_mean,response_mean,diff,p_exact,p_fdr,significant
bangbangyouaredead,1,__aggregate__,,,,0.01823114935205873,0.11584875301689461,,False
bangbangyouaredead,1,weird_mask,139.0,0.018326337296192454,0.04471161066839995,0.026385273372207498,0.2743362831858407,0.7054361567635904,False
bangbangyouaredead,1,gun_mother,441.0,0.021227584936477903,0.08918458407017775,0.06795699913369985,0.09573612228479485,0.5744167337087691,False
bangbangyouaredead,1,gun_mother_father,471.0,0.041696030969446005,0.07590715989880413,0.034211128929358126,0.23652453740949317,0.6750417723869051,False
bangbangyouaredead,1,gun_postman,505.0,0.05659748071827872,0.036507134268119246,-0.020090346450159474,0.6427996781979083,0.869900011492932,False
bangbangyouaredead,1,gun_loading,664.0,0.0868809449492419,0.12974336167882905,0.042862416729587155,0.18664521319388577,0.6719227674979888,False
bangbangyouaredead,1,next_bullet,746.0,0.09173107766091183,0.17878918289254708,0.08705810523163525,0.054706355591311345,0.5744167337087691,False
bangbangyouaredead,1,gun_girl,814.0,0.00843533600272896,0.08243197098980458,0.07399663498707562,0.08045052292839903,0.5744167337087691,False
bangbangyouaredead,1,more_loading,847.0,0.049266006124366116,0.06956850249229703,0.02030249636793091,0.3234111021721641,0.7462022620794094,False
bangbangyouaredead,1,even_more_loading,957.0,0.04680266384811189,0.004228788611575369,-0.04257387523653652,0.8004827031375704,0.9295928165468559,False
bangbangyouaredead,1,gun_shopkeeper,1014.0,0.10098223027533437,0.03361934743803117,-0.06736288283730321,0.8962188254223652,0.948937579858975,False
bangbangyouaredead,1,gun_maid,1217.0,0.0778797163108351,0.09501714629487079,0.017137429984035696,0.35237329042638776,0.7462022620794094,False
bangbangyouaredead,1,gun_fire,1225.0,0.1370713947665734,0.11596180677974725,-0.021109587986826148,0.6524537409493162,0.869900011492932,False
bangbangyouaredead,2,__aggregate__,,,,0.007910061108673407,0.1842316975060338,,False
bangbangyouaredead,2,weird_mask,139.0,0.03408463521646159,0.039733248873836995,0.005648613657375408,0.42799678197908286,0.8109412711182622,False
bangbangyouaredead,2,gun_mother,441.0,0.04558534125884549,0.028445295626396142,-0.017140045632449346,0.7232502011263073,0.8978278358809332,False
bangbangyouaredead,2,gun_mother_father,471.0,0.0030317554834621866,-0.008067811480012071,-0.011099566963474257,0.6629123089300081,0.869900011492932,False
bangbangyouaredead,2,gun_postman,505.0,0.02318562558315177,0.05086968661169048,0.02768406102853871,0.17216411906677392,0.6719227674979888,False
bangbangyouaredead,2,gun_loading,664.0,-0.018219294804598486,0.014931130085428224,0.03315042489002671,0.11423974255832663,0.5875186760142512,False
bangbangyouaredead,2,next_bullet,746.0,0.007448603604844872,0.02969751440235951,0.02224891079751464,0.22043443282381336,0.6750417723869051,False
bangbangyouaredead,2,gun_girl,814.0,0.0014353063317014492,0.021922539854384183,0.020487233522682734,0.24376508447304907,0.6750417723869051,False
bangbangyouaredead,2,more_loading,847.0,0.049228549581282754,9.437285031737769e-05,-0.04913417673096538,0.9501206757843926,0.9772669808068039,False
bangbangyouaredead,2,even_more_loading,957.0,-0.00016096402473496244,0.0312065057673767,0.03136746979211166,0.13274336283185842,0.5973451327433629,False
bangbangyouaredead,2,gun_shopkeeper,1014.0,-0.0015854057080472322,0.042099719267252526,0.043685124975299756,0.06596942880128721,0.5744167337087691,False
bangbangyouaredead,2,gun_maid,1217.0,0.009279749103135273,0.06339257019123552,0.05411282108810025,0.039420756234915526,0.5744167337087691,False
bangbangyouaredead,2,gun_fire,1225.0,0.1083385962130554,0.042248459092375394,-0.06609013712068001,0.9782783588093322,0.9782783588093322,False
bangbangyouaredead,3,__aggregate__,,,,-0.0030136310030042597,0.6733708769107,,False
bangbangyouaredead,3,weird_mask,139.0,0.02305527819104004,-0.0044626936926713935,-0.027517971883711433,0.8817377312952535,0.948937579858975,False
bangbangyouaredead,3,gun_mother,441.0,0.0024650029381208163,-0.005926597224152402,-0.008391600162273218,0.6275140788415124,0.869900011492932,False
bangbangyouaredead,3,gun_mother_father,471.0,0.027974007823357107,0.016666348268964085,-0.011307659554393022,0.6765888978278359,0.869900011492932,False
bangbangyouaredead,3,gun_postman,505.0,0.011936126313905537,0.05557556856768744,0.0436394422537819,0.042638777152051485,0.5744167337087691,False
bangbangyouaredead,3,gun_loading,664.0,0.026173354446032096,0.0023118233221255434,-0.023861531123906553,0.8503620273531778,0.948937579858975,False
bangbangyouaredead,3,next_bullet,746.0,0.005339604364202704,0.0011427430876321401,-0.004196861276570564,0.5607401448109413,0.869900011492932,False
bangbangyouaredead,3,gun_girl,814.0,0.018692008086520797,0.003035058571565102,-0.015656949514955696,0.7506033789219629,0.9007240547063555,False
bangbangyouaredead,3,more_loading,847.0,0.04417177947361683,0.03960989107829447,-0.004561888395322358,0.5695897023330652,0.869900011492932,False
bangbangyouaredead,3,even_more_loading,957.0,0.028384272485555032,0.03800352465167561,0.00961925216612058,0.3411102172164119,0.7462022620794094,False
bangbangyouaredead,3,gun_shopkeeper,1014.0,0.03285089918014438,0.030750114028498046,-0.0021007851516463352,0.5237329042638778,0.869900011492932,False
bangbangyouaredead,3,gun_maid,1217.0,-0.007068650483132034,0.0005458172449411642,0.007614467728073198,0.37409493161705554,0.7481898632341111,False
bangbangyouaredead,3,gun_fire,1225.0,0.01183454614916011,0.012393059027912495,0.0005585128787523857,0.4770716009654063,0.8587288817377313,False
