stimulus,component,feature,r,p_exact,p_fdr,significant
storycorps_q&a,1,min_lum,-0.15574446924472224,0.18181818181818182,0.6942148760330579,False
storycorps_q&a,1,mean_lum,0.10760116441498338,0.45454545454545453,0.7342657342657343,False
storycorps_q&a,1,max_lum,-0.28388958198572845,0.004784688995215311,0.10047846889952153,False
storycorps_q&a,1,diff_lum,0.23153300570439284,0.019138755980861243,0.20095693779904306,False
storycorps_q&a,1,amp_rms,-0.045128001288731026,0.6076555023923444,0.7975478468899521,False
storycorps_q&a,1,amp_peak,-0.039700137021987145,0.6076555023923444,0.7975478468899521,False
storycorps_q&a,1,ebu_r128_M,0.03389681379061192,0.6602870813397129,0.8156487475372924,False
storycorps_q&a,2,min_lum,-0.13467525887479873,0.3349282296650718,0.6942148760330579,False
storycorps_q&a,2,mean_lum,0.2424509924571439,0.36363636363636365,0.6942148760330579,False
storycorps_q&a,2,max_lum,0.01676017809836261,0.8181818181818182,0.9425837320574163,False
storycorps_q&a,2,diff_lum,-0.044704351672979585,0.5789473684210527,0.7975478468899521,False
storycorps_q&a,2,amp_rms,-0.00562578056718977,0.9330143540669856,0.9425837320574163,False
storycorps_q&a,2,amp_peak,-0.009009839614582047,0.8660287081339713,0.9425837320574163,False
storycorps_q&a,2,ebu_r128_M,-0.006586579829152019,0.9425837320574163,0.9425837320574163,False
storycorps_q&a,3,min_lum,-0.1033054767055119,0.24401913875598086,0.6942148760330579,False
storycorps_q&a,3,mean_lum,0.13642022841225332,0.3444976076555024,0.6942148760330579,False
storycorps_q&a,3,max_lum,-0.08208513693481771,0.3062200956937799,0.6942148760330579,False
storycorps_q&a,3,diff_lum,-0.09775761741102994,0.23444976076555024,0.6942148760330579,False
storycorps_q&a,3,amp_rms,-0.1529025523190702,0.07655502392344497,0.4019138755980861,False
storycorps_q&a,3,amp_peak,-0.14649138357319497,0.07177033492822966,0.4019138755980861,False
storycorps_q&a,3,ebu_r128_M,-0.08138137579827315,0.39712918660287083,0.694976076555024,False
