x_svgunits,dmochowski_timeseries,poulsen_timeseries,chance_estimate_timeseries,lab_results,lab_chance_estimate
23355.7811,0.137252,0.118187,0.051016,0.172599,0.047328
23584.9037,0.138581,0.184405,0.056261,0.190306,0.048492
23814.0264,0.147587,0.211826,0.058322,0.177958,0.047375
24043.1490,0.164670,0.239121,0.058442,0.210881,0.055990
24272.2716,0.166812,0.253204,0.059439,0.187663,0.043170
24501.3942,0.161981,0.238825,0.058500,0.145794,0.044868
24730.5169,0.147204,0.197926,0.055305,0.135171,0.052856
24959.6395,0.117267,0.176738,0.054003,0.166342,0.045823
25188.7621,0.105435,0.130371,0.050299,0.104525,0.044125
25417.8847,0.099081,0.080380,0.049506,0.091756,0.046557
25647.0074,0.099607,0.057675,0.049714,0.097092,0.049525
25876.1300,0.100132,0.031775,0.048688,0.094675,0.047800
26105.2526,0.100658,0.020794,0.047568,0.042526,0.054676
26334.3752,0.077328,0.027088,0.047679,0.041005,0.052596
26563.4979,0.043544,0.033382,0.048703,0.067674,0.059908
26792.6205,0.049124,0.073798,0.051380,0.157906,0.057374
27021.7431,0.062846,0.136652,0.055374,0.170416,0.060331
27250.8657,0.068456,0.131658,0.057837,0.147156,0.057087
27479.9884,0.059457,0.109538,0.058035,0.139450,0.048244
27709.1110,0.051066,0.116440,0.056536,0.152614,0.043131
27938.2336,0.027601,0.088574,0.054002,0.073247,0.045179
28167.3562,0.017849,0.040062,0.053674,0.055149,0.051293
28396.4789,0.020855,0.027702,0.052075,0.078791,0.061496
28625.6015,0.024389,0.031514,0.049949,0.109582,0.056208
28854.7241,0.029284,0.005285,0.049697,0.058787,0.051667
29083.8467,0.037098,0.025962,0.047881,0.031385,0.065509
29312.9694,0.047029,0.057826,0.052760,0.060914,0.051819
29542.0920,0.049993,0.076380,0.054592,0.022159,0.044774
29771.2146,0.057521,0.081004,0.055081,0.026217,0.051544
30000.3372,0.058655,0.078198,0.053787,0.075061,0.053819
30229.4599,0.052033,0.075346,0.054746,0.093863,0.046389
30458.5825,0.044191,0.071104,0.052737,0.089197,0.039781
30687.7051,0.032403,0.068252,0.052501,0.124202,0.049539
30916.8277,0.040728,0.085631,0.054787,0.088727,0.056791
31145.9504,0.065176,0.085164,0.054336,0.070544,0.048699
31375.0730,0.089772,0.084241,0.055485,0.080014,0.046831
31604.1956,0.086240,0.081937,0.055324,0.062650,0.044247
31833.3182,0.072781,0.079222,0.056421,0.029513,0.052797
32062.4409,0.057747,0.075437,0.057484,0.032259,0.057745
32291.5635,0.039434,0.072011,0.057635,0.013932,0.053480
32520.6861,0.018860,0.071056,0.057104,-0.011907,0.048999
32749.8087,0.019757,0.070101,0.055400,-0.009885,0.047980
32978.9313,0.079798,0.085621,0.055127,0.068235,0.044038
33208.0540,0.122572,0.104808,0.057132,0.069400,0.049596
33437.1766,0.138054,0.107262,0.055518,0.098539,0.040937
33666.2992,0.152406,0.106657,0.054127,0.107629,0.044556
33895.4218,0.159636,0.102003,0.054230,0.094016,0.048134
34124.5445,0.120893,0.059586,0.053717,0.058379,0.053138
34353.6671,0.114604,0.044892,0.053832,0.093651,0.052846
34582.7897,0.125484,0.077323,0.051967,0.099198,0.050083
34811.9123,0.114939,0.103489,0.051606,0.095328,0.053446
35041.0350,0.110332,0.105630,0.052589,0.124243,0.055166
35270.1576,0.104185,0.123011,0.053293,0.119650,0.052677
35499.2802,0.073780,0.118255,0.052755,0.092866,0.050335
35728.4028,0.034234,0.078605,0.050104,0.093870,0.058129
35957.5255,0.019257,0.028525,0.049261,0.116613,0.065420
36186.6481,0.015149,0.013990,0.050456,0.081766,0.057855
36415.7707,0.011712,0.010096,0.051176,0.068965,0.043280
36644.8933,0.017979,0.011972,0.053206,0.069555,0.054078
36874.0160,0.045997,0.033365,0.053790,0.040313,0.058419
37103.1386,0.056556,0.036972,0.055085,0.017757,0.050205
37332.2612,0.052744,0.038056,0.055228,0.015504,0.054574
37561.3838,0.048932,0.039118,0.053982,-0.004245,0.052946
37790.5065,0.022845,0.032648,0.050181,-0.000139,0.058183
38019.6291,-0.000389,0.027597,0.048101,-0.009215,0.048446
38248.7517,0.017138,0.041294,0.048165,0.001049,0.041985
38477.8743,0.030338,0.048196,0.048962,-0.000451,0.040952
38706.9970,0.038878,0.039531,0.050509,0.000031,0.048917
38936.1196,0.045800,0.024671,0.052050,-0.000697,0.053826
39165.2422,0.037785,0.027021,0.052117,0.001335,0.054017
39394.3648,0.013937,0.023411,0.051717,0.000103,0.055240
39623.4875,0.002443,0.013352,0.051216,0.077631,0.056875
39852.6101,0.015596,0.026661,0.050881,0.098847,0.052429
40081.7327,0.031494,0.032068,0.050175,0.085770,0.049405
40310.8553,0.040858,0.019887,0.050031,0.101058,0.057985
40539.9780,0.054780,0.018456,0.050608,0.107541,0.048229
40769.1006,0.050152,0.022780,0.049067,0.023202,0.039498
40998.2232,0.028068,0.031323,0.047736,0.030131,0.040442
41227.3458,0.023672,0.047518,0.048848,0.086243,0.063018
41456.4685,0.023846,0.077012,0.048608,0.083316,0.052462
41685.5911,0.032445,0.073026,0.050573,0.084941,0.056971
41914.7137,0.046192,0.068745,0.051593,0.090689,0.068989
42143.8363,0.060101,0.066765,0.052413,0.084710,0.052528
42372.9590,0.065808,0.055580,0.054267,0.039703,0.051153
42602.0816,0.056877,0.032424,0.054201,0.057549,0.053950
42831.2042,0.055168,0.036615,0.053680,0.044262,0.052774
43060.3268,0.055540,0.029249,0.051387,0.037516,0.053359
43289.4494,0.052206,0.024040,0.046536,0.032616,0.044182
43518.5721,0.039938,0.023150,0.043034,0.030743,0.050565
43747.6947,0.038719,0.022260,0.043357,0.025720,0.052376
43976.8173,0.038787,0.021954,0.045015,0.028038,0.058438
44205.9399,0.031513,0.023574,0.048301,0.024359,0.048249
44435.0626,0.034803,0.019129,0.051064,0.021658,0.047364
44664.1852,0.047143,0.020024,0.051771,0.040359,0.048914
44893.3078,0.053090,0.020637,0.050920,0.026972,0.039807
45122.4304,0.044410,0.020976,0.051012,0.024131,0.043593
45351.5531,0.036054,0.022028,0.048990,0.023140,0.036751
45580.6757,0.025537,0.023852,0.046420,0.024418,0.047703
45809.7983,0.008631,0.035953,0.047646,0.097037,0.043473
46038.9209,0.002420,0.056562,0.049460,0.100442,0.043985
46268.0436,0.009807,0.059586,0.049570,0.112349,0.044714
46497.1662,0.018041,0.054100,0.050264,0.111097,0.054372
46726.2888,0.033464,0.044167,0.050511,0.110390,0.046005
46955.4114,0.038485,0.023619,0.049760,0.004479,0.045093
47184.5341,0.043568,0.005403,0.050940,0.040928,0.045658
47413.6567,0.048713,0.005145,0.053044,0.063349,0.050228
47642.7793,0.045576,0.021414,0.055516,0.067258,0.056310
47871.9019,0.041681,0.035557,0.057717,0.072407,0.062891
48101.0246,0.063607,0.039510,0.058157,0.076865,0.057114
48330.1472,0.081397,0.038465,0.056782,0.034573,0.055250
48559.2698,0.078607,0.021861,0.055140,0.012087,0.048674
48788.3924,0.071104,0.008661,0.052496,-0.002761,0.045401
49017.5151,0.060671,-0.003566,0.051147,0.001096,0.040500
49246.6377,0.040917,-0.012174,0.049776,0.000056,0.048353
49475.7603,0.018924,-0.010391,0.048044,0.004093,0.041173
49704.8829,0.020043,-0.008608,0.048159,-0.004988,0.047632
49934.0056,0.047751,-0.005564,0.047862,0.005908,0.048904
50163.1282,0.068551,0.006806,0.048440,0.005700,0.057721
50392.2508,0.068582,0.033180,0.052119,-0.003307,0.051105
50621.3734,0.075025,0.059076,0.054147,-0.000398,0.056119
50850.4961,0.071953,0.069143,0.055016,0.023920,0.047575
51079.6187,0.046104,0.070568,0.055121,0.041211,0.050813
51308.7413,0.033351,0.071992,0.054325,0.048143,0.063177
51537.8639,0.035745,0.056896,0.051470,0.059799,0.053266
51766.9866,0.032791,0.037758,0.048529,0.064387,0.051022
51996.1092,0.012145,0.043436,0.049193,0.061978,0.056803
52225.2318,0.006664,0.047812,0.049977,0.061271,0.057751
52454.3544,0.008542,0.049694,0.049877,0.054185,0.051920
52683.4771,0.011612,0.043041,0.049547,0.050317,0.048001
52912.5997,0.018980,0.036782,0.048388,0.054384,0.056279
53141.7223,0.028910,0.033797,0.047241,0.039373,0.071072
53370.8449,0.048326,0.027084,0.049989,0.033062,0.059510
53599.9675,0.055916,0.023511,0.052360,0.038937,0.055471
53829.0902,0.053208,0.029539,0.054920,0.024899,0.054037
54058.2128,0.045897,0.033420,0.056539,0.013177,0.046572
54287.3354,0.033427,0.018976,0.056860,0.014040,0.056483
54516.4580,0.014865,0.002864,0.051686,-0.005469,0.054354
54745.5807,-0.000391,-0.003483,0.048990,-0.026383,0.049666
54974.7033,-0.002934,-0.004507,0.047984,-0.030300,0.050330
55203.8259,0.010717,-0.005531,0.047117,-0.026165,0.056878
55432.9485,0.016202,0.001532,0.047289,-0.022003,0.053370
55662.0712,0.021687,0.020188,0.048053,-0.011105,0.053564
55891.1938,0.024984,0.037436,0.048463,-0.012367,0.051295
56120.3164,0.016231,0.054937,0.047418,-0.002084,0.049376
56349.4390,0.004910,0.061736,0.046796,-0.001098,0.062664
56578.5617,-0.002681,0.063847,0.046685,0.017801,0.061791
56807.6843,-0.014816,0.055225,0.046972,0.010121,0.060680
57036.8069,-0.018835,0.035201,0.047715,0.018973,0.065417
57265.9295,-0.016429,0.024994,0.048862,0.019648,0.074788
57495.0522,-0.009154,0.032044,0.049804,0.040878,0.059148
57724.1748,0.011034,0.056190,0.050235,0.011102,0.056873
57953.2974,0.019555,0.078134,0.051499,0.001831,0.051983
58182.4200,0.022013,0.093557,0.053341,0.014116,0.059011
58411.5427,0.024036,0.094109,0.054490,0.009296,0.063356
58640.6653,0.015096,0.083815,0.054041,-0.000214,0.068376
58869.7879,0.011650,0.044931,0.051268,0.014817,0.062475
59098.9105,0.017508,0.026417,0.048794,0.044241,0.055432
59328.0332,0.024202,0.011091,0.048313,0.034218,0.059061
59557.1558,0.036265,0.019158,0.048832,0.046993,0.050230
59786.2784,0.037568,0.032980,0.047765,0.029977,0.054330
60015.4010,0.034571,0.046229,0.046311,0.037290,0.050326
60244.5237,0.021294,0.057888,0.047621,0.034017,0.053228
60473.6463,0.025725,0.103556,0.051409,0.089151,0.052711
60702.7689,0.046957,0.149224,0.052281,0.122078,0.052452
60931.8915,0.077362,0.187007,0.057061,0.127912,0.048557
61161.0142,0.100813,0.194357,0.059479,0.125516,0.038071
61390.1368,0.109908,0.189628,0.058244,0.140337,0.042086
61619.2594,0.110913,0.151044,0.055645,0.067982,0.045397
61848.3820,0.077219,0.099307,0.052607,0.018038,0.046850
62077.5047,0.035979,0.030595,0.050788,0.025033,0.047878
62306.6273,0.025295,0.030970,0.055421,0.036022,0.047168
62535.7499,0.021201,0.056849,0.058367,0.133762,0.042564
62764.8725,0.031444,0.080974,0.060273,0.134830,0.050192
62993.9952,0.052376,0.086019,0.061575,0.217278,0.061824
63223.1178,0.061304,0.118701,0.060677,0.190036,0.059229
63452.2404,0.056139,0.115712,0.057721,0.181127,0.047047
63681.3630,0.048847,0.095153,0.056791,0.108705,0.048532
63910.4856,0.030146,0.080580,0.055557,0.118189,0.049352
64139.6083,0.012396,0.068040,0.054230,0.051510,0.059050
64368.7309,0.001287,0.025319,0.053634,0.052491,0.054642
64597.8535,0.002109,0.032752,0.051679,0.058340,0.047324
64826.9761,0.031480,0.037181,0.049216,0.043945,0.043716
65056.0988,0.037185,0.022544,0.050612,0.039230,0.045106
65285.2214,0.049001,0.019233,0.052168,0.021837,0.051912
65514.3440,0.067700,0.029727,0.054387,0.028732,0.055506
65743.4666,0.063242,0.041342,0.057370,0.039609,0.046208
65972.5893,0.047639,0.053865,0.058832,0.035443,0.046112
66201.7119,0.050880,0.069851,0.059761,0.057353,0.048088
66430.8345,0.046031,0.074011,0.058812,0.080782,0.041527
66659.9571,0.023239,0.070217,0.056039,0.043248,0.041339
66889.0798,0.030054,0.060333,0.052448,0.013409,0.050686
67118.2024,0.031858,0.042784,0.048371,0.049987,0.061985
67347.3250,0.036540,0.048734,0.049485,0.022580,0.060741
67576.4476,0.057896,0.052972,0.051744,0.016320,0.060915
67805.5703,0.058753,0.057211,0.049484,0.024913,0.058933
68034.6929,0.052609,0.065658,0.050212,0.035257,0.052216
68263.8155,0.046192,0.069454,0.053104,0.029811,0.049350
68492.9381,0.039387,0.054483,0.050229,0.079188,0.053233
68722.0608,0.024832,0.076623,0.051699,0.071659,0.051964
68951.1834,0.033906,0.084813,0.050776,0.086438,0.060554
69180.3060,0.036464,0.089526,0.049064,0.070124,0.050758
69409.4286,0.066601,0.087587,0.047403,0.028630,0.057992
69638.5513,0.067727,0.115459,0.049642,0.014648,0.054817
69867.6739,0.068853,0.090829,0.048110,0.033134,0.053346
70096.7965,0.068133,0.079349,0.047894,0.026950,0.053464
70325.9191,0.059949,0.067487,0.053926,0.039301,0.058063
70555.0418,0.035874,0.049321,0.054013,0.059838,0.056227
70784.1644,0.014883,0.006119,0.055148,0.052406,0.052679
71013.2870,0.002775,-0.005631,0.057318,0.029394,0.049961
71242.4096,-0.005868,-0.003835,0.056819,0.024848,0.039469
71471.5323,-0.011100,-0.002039,0.056028,0.014847,0.044260
71700.6549,-0.008702,0.003250,0.054067,-0.020273,0.040481
71929.7775,0.002818,0.016458,0.050525,0.060955,0.047767
72158.9001,0.013997,0.041595,0.053539,0.060233,0.049371
72388.0228,0.018982,0.050450,0.050742,0.066336,0.049376
72617.1454,0.020936,0.044676,0.052398,0.080441,0.048463
72846.2680,0.021821,0.038706,0.052539,0.080955,0.048161
73075.3906,0.022040,0.032521,0.051252,0.027554,0.046888
73304.5133,0.012803,0.019182,0.049402,0.033286,0.060781
73533.6359,0.007879,0.009822,0.048364,0.031616,0.059001
73762.7585,0.012151,0.008628,0.048633,0.023840,0.045779
73991.8811,0.017869,0.011917,0.049866,0.075355,0.051673
74221.0038,0.029456,0.027336,0.051299,0.078711,0.047886
74450.1264,0.057506,0.039109,0.050524,0.074371,0.050041
74679.2490,0.065865,0.053727,0.050402,0.070440,0.054254
74908.3716,0.068871,0.067901,0.049635,0.070776,0.055769
75137.4942,0.071876,0.076716,0.048700,0.064959,0.059559
75366.6169,0.069338,0.061489,0.046678,0.101053,0.043950
75595.7395,0.051672,0.069129,0.044571,0.150493,0.039168
75824.8621,0.053288,0.078130,0.044499,0.151838,0.040232
76053.9847,0.054905,0.101336,0.048133,0.145703,0.043436
76283.1074,0.052134,0.112770,0.047854,0.109409,0.047300
76512.2300,0.053960,0.109798,0.047564,0.084993,0.050564
76741.3526,0.059755,0.101503,0.047087,0.087781,0.053894
76970.4752,0.064718,0.089256,0.046805,0.075802,0.065159
77199.5979,0.076350,0.050823,0.047768,0.071209,0.050959
77428.7205,0.080520,0.036315,0.052670,0.049135,0.059372
77657.8431,0.075796,0.016092,0.054602,0.025790,0.044252
77886.9657,0.064078,0.029043,0.054583,-0.016153,0.067778
78116.0884,0.052451,0.026137,0.052556,0.005572,0.063718
78345.2110,0.022174,0.030600,0.050633,0.022085,0.064301
78574.3336,0.010522,0.038639,0.048568,0.052635,0.051589
78803.4562,0.018395,0.076815,0.044598,0.068079,0.045699
79032.5789,0.028517,0.073136,0.041073,0.080238,0.040342
79261.7015,0.036391,0.072945,0.041139,0.085188,0.047627
79490.8241,0.055314,0.072753,0.043157,0.133146,0.049168
79719.9467,0.141662,0.080742,0.047124,0.124387,0.058485
79949.0694,0.152677,0.038219,0.049271,0.131493,0.056430
80178.1920,0.145712,0.056419,0.050894,0.125884,0.052509
80407.3146,0.161863,0.091866,0.054378,0.103112,0.050318
80636.4372,0.165156,0.080351,0.052994,0.058188,0.057959
80865.5599,0.111335,0.072630,0.052552,0.049674,0.052399
81094.6825,0.105225,0.067356,0.054880,0.038096,0.045183
81323.8051,0.124685,0.056259,0.053093,0.050827,0.049707
81552.9277,0.108150,0.036159,0.052518,0.069177,0.058788
81782.0504,0.099694,0.032966,0.049453,0.059619,0.057098
82011.1730,0.092900,0.041789,0.046491,0.059774,0.064995
82240.2956,0.087276,0.034444,0.049486,0.050358,0.054792
82469.4182,0.059169,0.022882,0.052805,0.049203,0.055842
82698.5409,0.033895,0.014329,0.053814,0.019171,0.056115
82927.6635,0.022295,0.007478,0.054311,0.008032,0.045074
83156.7861,0.010828,0.003038,0.054724,0.023468,0.045927
83385.9087,0.005177,0.004436,0.048550,0.031523,0.040224
83615.0314,0.005687,0.021114,0.046200,0.038186,0.050677
83844.1540,0.016243,0.027108,0.044775,0.103348,0.051975
84073.2766,0.041580,0.073317,0.047004,0.171514,0.054237
84302.3992,0.052198,0.093096,0.052257,0.174192,0.053178
84531.5219,0.068918,0.099554,0.054330,0.172627,0.055799
84760.6445,0.068055,0.081179,0.054944,0.168713,0.046971
84989.7671,0.067191,0.069156,0.055117,0.112527,0.053289
