x_svgunits,dmochowski_timeseries,poulsen_timeseries,chance_estimate_timeseries,lab_results,lab_chance_estimate
672.6413,0.051320,0.064706,0.049229,0.050230,0.048166
901.7639,0.042604,0.020279,0.048508,-0.014934,0.047580
1130.8865,0.032234,0.018538,0.047580,-0.010543,0.045066
1360.0092,0.018210,0.021864,0.047579,-0.006608,0.051120
1589.1318,0.013275,0.029793,0.048323,0.012557,0.051943
1818.2544,0.019748,0.039176,0.049133,0.010222,0.049553
2047.3770,0.022990,0.025166,0.049398,0.030011,0.054090
2276.4997,0.026232,0.022124,0.048717,0.031743,0.059667
2505.6223,0.029473,0.019082,0.048055,0.027294,0.051229
2734.7449,0.030814,0.008031,0.047882,-0.000231,0.057159
2963.8675,0.026869,0.004966,0.048294,-0.003575,0.058190
3192.9902,0.059962,0.031760,0.049444,-0.008946,0.053072
3422.1128,0.064431,0.056969,0.053135,0.013323,0.048644
3651.2354,0.068899,0.064208,0.054759,0.020267,0.058602
3880.3580,0.074035,0.068425,0.055511,0.029099,0.045051
4109.4807,0.079171,0.073188,0.055970,0.021935,0.054151
4338.6033,0.039897,0.056677,0.054917,0.043537,0.049906
4567.7259,0.029076,0.016809,0.049537,0.061453,0.052690
4796.8485,0.026560,0.023759,0.047552,0.072689,0.052200
5025.9712,0.046665,0.031011,0.047201,0.097051,0.043066
5255.0938,0.096564,0.087298,0.048441,0.124783,0.052972
5484.2164,0.112311,0.111080,0.053775,0.135781,0.048342
5713.3390,0.115371,0.125639,0.054741,0.130795,0.043034
5942.4617,0.114640,0.146293,0.055474,0.143544,0.049842
6171.5843,0.113910,0.185090,0.055717,0.147513,0.062337
6400.7069,0.103286,0.160495,0.054776,0.156604,0.065875
6629.8295,0.095945,0.147657,0.053151,0.132366,0.058648
6858.9522,0.092999,0.138813,0.051729,0.100047,0.042566
7088.0748,0.089292,0.128875,0.050216,0.101028,0.053401
7317.1974,0.079693,0.095316,0.046601,0.078367,0.054152
7546.3200,0.055336,0.078687,0.052025,0.045998,0.058049
7775.4427,0.044497,0.054118,0.052269,0.053485,0.052791
8004.5653,0.079384,0.067682,0.052691,0.059305,0.058018
8233.6879,0.088675,0.107132,0.054135,0.012904,0.064388
8462.8105,0.075179,0.076393,0.056092,0.027162,0.064434
8691.9332,0.088307,0.051992,0.058768,0.073952,0.064770
8921.0558,0.137807,0.057373,0.060920,0.071103,0.056111
9150.1784,0.114916,0.062755,0.061483,0.101161,0.058102
9379.3010,0.145814,0.081176,0.061653,0.115204,0.062665
9608.4237,0.146053,0.097658,0.061393,0.097656,0.053930
9837.5463,0.142673,0.113749,0.058570,0.058185,0.047290
10066.6689,0.110122,0.116345,0.057248,0.049205,0.052331
10295.7915,0.119533,0.106939,0.054508,0.030115,0.051755
10524.9142,0.087543,0.042922,0.048164,0.023570,0.050694
10754.0368,0.074184,0.095763,0.049281,0.050383,0.054822
10983.1594,0.065776,0.111356,0.051482,0.037892,0.060598
11212.2820,0.058674,0.123843,0.053199,0.037135,0.048167
11441.4046,0.040313,0.131599,0.053768,0.035423,0.054001
11670.5273,0.047836,0.131998,0.054002,0.042994,0.046948
11899.6499,0.057644,0.135273,0.054522,0.054235,0.046150
12128.7725,0.071508,0.146608,0.055504,0.081779,0.053232
12357.8951,0.094896,0.174398,0.056298,0.194425,0.061744
12587.0178,0.137918,0.192431,0.055765,0.192694,0.065615
12816.1404,0.132619,0.179535,0.058270,0.188915,0.052119
13045.2630,0.110884,0.122871,0.058608,0.177769,0.058091
13274.3856,0.094113,0.097190,0.058785,0.185589,0.048607
13503.5083,0.084230,0.071541,0.055908,0.101658,0.059296
13732.6309,0.048110,0.034412,0.051794,0.100554,0.054216
13961.7535,0.038870,0.037707,0.050871,0.165496,0.057976
14190.8761,0.103603,0.060521,0.051814,0.165560,0.044316
14419.9988,0.107278,0.054256,0.052344,0.132695,0.047136
14649.1214,0.091616,0.046821,0.052103,0.124615,0.048198
14878.2440,0.089373,0.048055,0.052751,0.100982,0.047123
15107.3666,0.087129,0.049784,0.052193,0.030032,0.042657
15336.4893,0.023843,0.023661,0.049530,0.028981,0.049438
15565.6119,0.021167,0.021836,0.047147,0.033023,0.045070
15794.7345,0.029709,0.027799,0.048830,0.003024,0.047266
16023.8571,0.035806,0.031803,0.046925,0.009754,0.059304
16252.9798,0.034477,0.035808,0.048388,0.026092,0.059228
16482.1024,0.049652,0.038929,0.050682,0.087957,0.052018
16711.2250,0.065628,0.040534,0.050295,0.117274,0.058800
16940.3476,0.057794,0.039325,0.053375,0.122726,0.062510
17169.4703,0.039486,0.038116,0.053162,0.116882,0.059128
17398.5929,0.043047,0.056954,0.052141,0.104266,0.061606
17627.7155,0.028780,0.054644,0.055925,0.077238,0.061114
17856.8381,0.027094,0.055539,0.057204,0.038913,0.039938
18085.9608,0.025408,0.058528,0.055055,0.049086,0.045912
18315.0834,0.035016,0.099405,0.054537,0.158880,0.047759
18544.2060,0.069355,0.122871,0.055279,0.240720,0.049404
18773.3286,0.093707,0.159597,0.054416,0.255552,0.051995
19002.4513,0.122623,0.176979,0.054950,0.301569,0.044413
19231.5739,0.127014,0.180676,0.055161,0.280295,0.043305
19460.6965,0.124899,0.144277,0.051722,0.202417,0.037467
19689.8191,0.114166,0.123660,0.047685,0.157019,0.038382
19918.9418,0.133217,0.123290,0.050300,0.165012,0.041035
20148.0644,0.118349,0.120654,0.052174,0.135317,0.065519
20377.1870,0.108212,0.117843,0.051520,0.144398,0.057205
20606.3096,0.111037,0.112270,0.052841,0.128347,0.074896
20835.4323,0.091103,0.101894,0.055733,0.158311,0.068647
21064.5549,0.073540,0.076251,0.058471,0.133059,0.064741
21293.6775,0.063854,0.061886,0.061222,0.144832,0.055708
21522.8001,0.076171,0.067881,0.061848,0.141180,0.061133
21751.9227,0.083518,0.078182,0.060507,0.180360,0.046141
21981.0454,0.108370,0.090457,0.058028,0.144368,0.051127
22210.1680,0.107620,0.076185,0.055274,0.137662,0.063174
22439.2906,0.119197,0.057486,0.053808,0.096164,0.049855
22668.4132,0.128545,0.060165,0.052798,0.138525,0.044782
22897.5359,0.141542,0.050356,0.048324,0.114728,0.045910
23126.6585,0.141263,0.065223,0.048416,0.133276,0.043232
